district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Musa Khel,05,14,قریه,1405068,Pori Khel,Haji Qaseem Hojra,Khost,1,1,2,Village,69.696269,33.550432
Musa Khel,05,14,قریه,1405078,Turky Village,Sardar Khan Turky Mosque,Khost,1,4,5,Village,69.721917,33.552069
Nadirshah Kot,06,14,تعمیر,1406124,Haraspan Village,Haraspan Village School,Khost,1,2,3,Building,69.641280,33.407627
Ali Sher,08,14,تعمیر,1408052,Kabul Village,Kabul Village Big Mosque,Khost,2,3,5,Building,70.079227,33.464846
Ali Sher,08,14,ولسوالی,1408165,Chargoti,Chargoti Mosque,Khost,3,3,6,District,70.108916,33.442520
Spera,11,14,ولسوالی,1411169,Zarbi Village,Zarbi Shops,Khost,0,2,2,District,69.501093,33.174770
Jaji Maidan,13,14,تعمیر,1413097,Aka Kahol,Aka Kahol School,Khost,2,2,4,Building,70.080618,33.625123
Asad Abad,01,15,تعمیر,1501004,Kirhala,Kirhala Secondary School,Kunar,3,5,8,Building,71.155482,34.875234
Mara Wara,02,15,قریه,1502048,Baacha,Village Mosque,Kunar,1,3,4,Village,71.215253,34.921189
Mara Wara,02,15,قریه,1502049,Daag,Daag Primary School,Kunar,1,3,4,Village,71.227679,34.926172
Narang,04,15,تعمیر,1504033,Kotakai,Primary School,Kunar,1,2,3,Building,70.999663,34.738646
Narang,04,15,تعمیر,1504034,Bar Narang,Girls School,Kunar,1,2,3,Building,71.067608,34.760769
Shigal Wa Shiltan,06,15,تعمیر,1506065,Mony,Mony Primary School,Kunar,3,3,6,Building,71.257998,34.977535
Dara-E-Pech,07,15,قریه,1507024,Lacha Lam,Lacha Lam High School,Kunar,2,1,3,Village,70.847172,34.962195
Bar Kunar,08,15,تعمیر,1508061,Asmar Bazar,District Mosque,Kunar,1,2,3,Building,71.348810,35.033070
Khas Kunar,10,15,تعمیر,1510098,Hakim Abad Daag,Hakim Abad High School,Kunar,1,2,3,Building,70.928420,34.670611
Ghazi Abad,11,15,قریه,1511119,Kachagul,Kachagul Village Mosque,Kunar,2,3,5,Village,71.403823,35.154207
Chapa Dara,13,15,قریه,1513070,Senzi,Senzi Primary School,Kunar,1,3,4,Village,70.786066,34.945951
Chapa Dara,13,15,قریه,1513071,Kandai,Kandai High School,Kunar,1,3,4,Village,70.778832,34.951089
Noor Gal,14,15,قریه,1514087,Mia Qala,Mia Qala Dar-Ul-Ulom,Kunar,1,3,4,Village,70.770786,34.618226
Waygal,02,16,تعمیر,1602031,Want,Want Secondary School,Nooristan,1,2,3,Building,70.907947,35.053919
Noor Gram,04,16,قریه,1604019,Gada Lam,Gada Lam Mosque,Nooristan,1,1,2,Village,70.494653,35.071829
Barg-E-Matal,08,16,قریه,1608068,Anati Village,Anati Village Mosque,Nooristan,2,3,5,Village,71.329962,35.873980
Faiz Abad,01,17,تعمیر,1701006,Kol Gahi Yaftal Ulya,Kol Gahi School,Badakhshan,1,1,2,Building,70.679045,37.198195
Faiz Abad,01,17,تعمیر,1701016,Nahia 2 Shahr Kuhna,Girls Number 2 High School,Badakhshan,2,2,4,Building,70.577366,37.123639
Faiz Abad,01,17,تعمیر,1701017,Naghz Dara,Naghz Dara School,Badakhshan,1,2,3,Building,70.646280,37.259609
Argo,02,17,تعمیر,1702041,Karee,Sayed Abdul Kareem Husaini Girls High School,Badakhshan,2,2,4,Building,70.516328,37.108512
Arghanj Khwah,03,17,تعمیر,1703224,Tagabak,Tagabak School,Badakhshan,1,3,4,Building,70.771118,37.167901
Yaftal-E-Sufla,04,17,تعمیر,1704029,Kasheen Dara,Kasheen Dara School,Badakhshan,2,1,3,Building,70.323800,37.298001
Khash,05,17,تعمیر,1705075,Deh Naw,Esmati Girls High School,Badakhshan,2,2,4,Building,70.764046,36.926600
Baharak,06,17,تعمیر,1706109,Farmoragh,Farmoragh School,Badakhshan,1,1,2,Building,70.848701,37.033683
Darayim,07,17,تعمیر,1707069,Khum Mir Harzar,Do-Aab Mughal Tai High School,Badakhshan,2,2,4,Building,70.409407,36.853263
Yawan,09,17,تعمیر,1709127,Yawan,Yawan School,Badakhshan,1,1,2,Building,70.445595,37.540617
Yawan,09,17,تعمیر,1709128,Saari,Saari School,Badakhshan,1,1,2,Building,70.389606,37.513058
Jurm,10,17,تعمیر,1710081,Ferghamenj,Ferghamenj High School,Badakhshan,1,2,3,Building,70.888041,36.907944
Tashkan,11,17,تعمیر,1711178,Ghori Sang,Ghori Sang School,Badakhshan,1,1,2,Building,70.464313,36.707829
Shuhada,12,17,تعمیر,1712114,Joybar Village,Abu Talha School,Badakhshan,1,2,3,Building,71.030559,37.030762
Shahr-E-Buzurg,13,17,تعمیر,1713141,Shekhan,Shekhan School,Badakhshan,1,1,2,Building,70.087159,37.299362
Yamgan,18,17,تعمیر,1718256,Mazar,Ashnaam School,Badakhshan,1,2,3,Building,70.795417,36.601211
Shighnan,19,17,تعمیر,1719219,Darmarakht,Darmarakht School,Badakhshan,1,2,3,Building,71.465770,37.338090
Kufab,21,17,تعمیر,1721247,Nashahr Village,Nashahr School,Badakhshan,2,2,4,Building,70.498837,38.000069
Darwaz-E-Payin,22,17,قریه,1722264,Jamarch Village,Jamarch School,Badakhshan,1,1,2,Village,71.321826,38.279066
Darwaz-E-Payin,22,17,قریه,1722265,Ghamai Village,Ghamai School,Badakhshan,1,1,2,Village,71.280572,38.145710
Shiki,24,17,قریه,1724278,Shahr Sabz,Shahr Sabz High School,Badakhshan,1,2,3,Village,70.507536,38.128972
Kiran Wa Menjan,26,17,تعمیر,1726189,Askazar,Askazar Clinic,Badakhshan,1,1,2,Building,70.681095,36.021965
Wakhan,28,17,تعمیر,1728204,Shakhor,Shakhor School,Badakhshan,1,1,2,Building,71.917220,36.728670
Taluqan,01,18,تعمیر,1801004,Qarmala,Engineer Nek Mohammad School,Takhar,1,2,3,Building,69.579733,36.678241
Taluqan,01,18,تعمیر,1801014,D02 - Nahia 2,Agriculture Department,Takhar,2,4,6,Building,69.543898,36.734972
Taluqan,01,18,تعمیر,1801025,Todan Village,Todan High School,Takhar,1,2,3,Building,69.703133,36.703254
Taluqan,01,18,تعمیر,1801184,Kolabi,Ahan Dara High School,Takhar,1,2,3,Building,69.596949,36.722232
Baharak,03,18,تعمیر,1803041,Do Rahi,Hazrat Omar Primary School,Takhar,3,4,7,Building,69.392199,36.777735
Chal,05,18,تعمیر,1805076,Mandara,Abdul Wahid Shaheed High School,Takhar,2,2,4,Building,69.538312,36.447625
Kalafgan,07,18,تعمیر,1807096,Hawza Shahr,Abul Hassan Kherqani High School,Takhar,2,3,5,Building,69.943305,36.775886
Farkhar,08,18,تعمیر,1808089,Khanqah,Sayed Abdul Rahman Shaheed High School,Takhar,1,2,3,Building,69.917848,36.593617
Khwaja Ghar,09,18,تعمیر,1809050,Aaqela Mama Ye,Aaqela Mama Ye High School,Takhar,2,2,4,Building,69.524184,37.042736
Rustaq,10,18,تعمیر,1810102,Shahr Kuhna Rostaq,Shahr Kuhna Girls High School,Takhar,2,2,4,Building,69.824989,37.129562
Rustaq,10,18,تعمیر,1810113,Aab Asyaba,Mawlana Jalaluddin High School,Takhar,2,2,4,Building,70.013678,37.005819
Rustaq,10,18,تعمیر,1810124,Lala Maidan,Khwaja Alauddin High School,Takhar,2,2,4,Building,69.534858,37.042771
Rustaq,10,18,تعمیر,1810125,Elkashan,Hazrat Bilal Secondary School,Takhar,1,2,3,Building,70.032195,37.068672
Eshkamesh,11,18,تعمیر,1811064,Shahr Kuhna Ashkmash,Tariq Shaheed High School,Takhar,3,5,8,Building,69.327485,36.382522
Eshkamesh,11,18,تعمیر,1811191,Siyah Dara,Siyah Dara Mosque,Takhar,1,1,2,Building,69.509784,36.442313
Warsaj,13,18,تعمیر,1813176,Tarasht,Sayed Ikramuddin Shaheed High School,Takhar,2,4,6,Building,69.913028,36.229895
Khwaja Bahawudin,14,18,تعمیر,1814157,Katak Jar,Katak Jar Boys High School,Takhar,1,2,3,Building,69.491930,37.309160
Darqad,15,18,تعمیر,1815166,Qol Abad,Qol Abad Boys High School,Takhar,1,2,3,Building,69.536023,37.439693
Chah Ab,16,18,تعمیر,1816141,Shah Dara,Shah Dara Secondary School,Takhar,2,2,4,Building,69.949145,37.337950
Yangi Qala,17,18,تعمیر,1817150,Umar Khel,Umar Khel School,Takhar,2,2,4,Building,69.562245,37.430141
Kunduz,01,19,تعمیر,1901008,D02 - Nahia 2,Girls Central High School,Kunduz,5,2,7,Building,68.861713,36.727482
Kunduz,01,19,تعمیر,1901018,D03 - Nahia 3,Zakhil High School,Kunduz,3,4,7,Building,68.851036,36.732242
Kunduz,01,19,تعمیر,1901030,D01 - Nahia 1,Chala Mazar School,Kunduz,2,2,4,Building,68.897768,36.711456
Kunduz,01,19,تعمیر,1901041,Arabha Village,Gul Tipa Secondary School,Kunduz,2,1,3,Building,68.700750,36.810790
Kunduz,01,19,تعمیر,1901052,Qoy Guzar,Arbab Chari Secondary School,Kunduz,2,2,4,Building,68.808333,36.829722
Char Dara,02,19,تعمیر,1902116,Qasab Village,Mohammad Fataah Shaheed High School,Kunduz,1,2,3,Building,68.857271,36.594924
Char Dara,02,19,تعمیر,1902127,Nawabad,Nawabad School,Kunduz,2,4,6,Building,68.729861,36.701661
Ali Abad,03,19,تعمیر,1903135,Sayed Ahmad Village,Sayed Ahmad Boys School,Kunduz,1,1,2,Building,68.875475,36.542541
Khan Abad,04,19,تعمیر,1904143,Aaqtash Village,Aaqtash High School,Kunduz,1,2,3,Building,69.081955,36.734395
Khan Abad,04,19,تعمیر,1904154,D04 - Nahia 4 Khan Abad City,Khan Abad Girls High School,Kunduz,3,0,3,Building,69.113336,36.679968
Hazrat-E-Imam Sahib,05,19,تعمیر,1905058,Kol Daman Village,Kol Daman School,Kunduz,2,2,4,Building,69.086159,37.107033
Hazrat-E-Imam Sahib,05,19,تعمیر,1905068,Aaq Masjid Village,Aaq Masjid School,Kunduz,1,2,3,Building,68.901521,37.245610
Hazrat-E-Imam Sahib,05,19,تعمیر,1905078,Gunbad,Gunbad Secondary School,Kunduz,1,2,3,Building,68.974455,37.141566
Hazrat-E-Imam Sahib,05,19,قریه,1905079,Aalcheen Village,Aalchin School,Kunduz,1,3,4,Village,69.040031,37.137323
Hazrat-E-Imam Sahib,05,19,تعمیر,1905087,Zard Kamar,Zard Kamar School,Kunduz,1,2,3,Building,68.758732,37.151748
Hazrat-E-Imam Sahib,05,19,تعمیر,1905097,Bataash Village,Mirza Abdul Qadir Bedal High School,Kunduz,2,2,4,Building,68.820561,37.158494
Dasht-E-Archi,06,19,تعمیر,1906182,Kobichi Village,Kobichi Mosque,Kunduz,1,2,3,Building,69.292923,37.062966
Dasht-E-Archi,06,19,تعمیر,1906193,Jama Rajab Village,Mesbaah School,Kunduz,2,3,5,Building,69.104120,37.084650
Qala-E-Zal,07,19,تعمیر,1907102,Saaleh Abad,Saaleh High School,Kunduz,1,2,3,Building,68.435232,36.993111
Qala-E-Zal,07,19,تعمیر,1907204,Haji Ibrahim,Haji Mula Ibrahim Mosque,Kunduz,1,1,2,Building,68.539547,37.006019
Aybak,01,20,تعمیر,2001008,Aibak City,Aibak Girls High School,Samangan,0,8,8,Building,68.014457,36.265705
Aybak,01,20,تعمیر,2001087,Shahr Qadeem Village,Shahr Qadeem Girls School,Samangan,1,2,3,Building,68.044657,36.248701
Aybak,01,20,قریه,2001088,Chehl Kapa Village,Chehl Kapa Mosque,Samangan,1,1,2,Village,68.413534,36.265759
Khuram Wa Sarbagh,03,20,تعمیر,2003082,Shorabak Village,Shorabak Primary School,Samangan,1,1,2,Building,68.219651,36.118637
Roi-Do-Ab,05,20,تعمیر,2005076,Ze Sahibuddin Village,Ze Sahibuddin Madrassa,Samangan,1,1,2,Building,68.059604,35.525277
Dara-E-Soof-E-Payin,06,20,تعمیر,2006064,Palez Paya Village,Palez Paya Mosque,Samangan,1,1,2,Building,67.473395,35.970219
Dara-E-Soof-E-Bala,07,20,تعمیر,2007040,Shekha Village,Shekha School,Samangan,2,3,5,Building,67.414719,35.715352
Dara-E-Soof-E-Bala,07,20,تعمیر,2007041,Zer Sang Village,Zer Sang Menbar,Samangan,2,2,4,Building,67.331821,35.673315
Mazar-E-Sharif,01,21,تعمیر,2101002,D01 - Nahia 1 Guzar Chatgari,Wazir Akbar Khan School,Balkh,2,3,5,Building,67.121577,36.701131
Mazar-E-Sharif,01,21,تعمیر,2101011,D03 - Nahia 3,Bakhtar High School,Balkh,2,2,4,Building,67.111016,36.718239
Mazar-E-Sharif,01,21,تعمیر,2101021,D05 - Nahia 5,Gawhar Khatoon High School,Balkh,1,2,3,Building,67.107311,36.715145
Mazar-E-Sharif,01,21,تعمیر,2101031,D07 - Nahia 7 Karta-E-Daqiqi,Daqiqi Balkhi High School,Balkh,4,5,9,Building,67.133166,36.717899
Mazar-E-Sharif,01,21,تعمیر,2101040,D10 - Nahia 10 Karta-E-Aryana,Ustad Wejdan High School,Balkh,4,4,8,Building,67.144595,36.708977
Nahr-E-Shahi,02,21,تعمیر,2102063,Qol Mohammad Village,Qala Qol Muhammad School,Balkh,2,3,5,Building,67.219497,36.737201
Dehdadi,03,21,تعمیر,2103050,Dehdadi Center,Shaheed Balkhi High School,Balkh,2,3,5,Building,66.993723,36.663060
Dehdadi,03,21,تعمیر,2103060,Sher Abad Ulya,Ustad Zabihullah Shaheed High School,Balkh,1,1,2,Building,67.035153,36.684213
Char Kent,04,21,تعمیر,2104282,Azom Chah Village,Azom Chah School,Balkh,1,1,2,Building,67.199353,36.305866
Char Kent,04,21,تعمیر,2104283,Mir Haji Qara Ghaaj,Kuhna Jar School,Balkh,1,2,3,Building,67.317169,36.205368
Balkh,06,21,تعمیر,2106147,District Compound,Farida Girls High School,Balkh,2,1,3,Building,66.894276,36.754842
Balkh,06,21,تعمیر,2106160,Boka Village,Boka School,Balkh,1,2,3,Building,66.815939,36.748902
Balkh,06,21,تعمیر,2106171,Walagai (Khaspak) Village,Walagai School,Balkh,1,1,2,Building,66.799613,36.792931
Sholgara,07,21,تعمیر,2107242,Kuhna Qashlaq,Kecha Qazal School,Balkh,1,1,2,Building,66.666105,36.197489
Sholgara,07,21,تعمیر,2107254,Arlaat Village,Arlaat Mosque,Balkh,1,2,3,Building,67.046101,36.315375
Sholgara,07,21,تعمیر,2107266,Shorcha Village,Shorcha Mosque,Balkh,1,1,2,Building,67.091445,36.190422
Sholgara,07,21,تعمیر,2107267,Naw Qashlaq Village,Naw Qeshlaq Mosque,Balkh,1,1,2,Building,66.743898,36.179111
Chimtal,08,21,قریه,2108215,Arab Mazari Village,Arab Mazari School,Balkh,1,1,2,Village,66.626293,36.683838
Chimtal,08,21,تعمیر,2108226,Haji Barfi Village,Haji Barfi School,Balkh,2,3,5,Building,66.543756,36.505275
Chimtal,08,21,تعمیر,2108236,Char Say Afghania Village,Doctar Dastageer Private House,Balkh,1,1,2,Building,66.370109,36.446969
Dawlat Abad,09,21,تعمیر,2109127,Qazan Village,Anwari School,Balkh,1,2,3,Building,66.620627,37.017786
Dawlat Abad,09,21,تعمیر,2109137,Surkh Gumbad Village,Surkh Gumbad School,Balkh,1,2,3,Building,66.916910,36.961083
Khulm,10,21,تعمیر,2110077,Dewardagi Village,Mahesti High Schoo,Balkh,3,2,5,Building,67.697938,36.695082
Khulm,10,21,تعمیر,2110087,Mirza Shams Village,Mirza Shams School,Balkh,1,2,3,Building,67.711973,36.711260
Char Bolak,11,21,تعمیر,2111178,Chahar Bolak Markaz,Mudiryat Maaref,Balkh,2,2,4,Building,66.685719,36.795154
Char Bolak,11,21,تعمیر,2111188,Dahno Village,Khwaja Roshnaye School,Balkh,1,1,2,Building,66.601779,36.917016
Char Bolak,11,21,تعمیر,2111199,Sal Baron Village,Sal Baron School,Balkh,1,2,3,Building,66.530668,36.942268
Char Bolak,11,21,تعمیر,2111322,Soryan Village,Qarya Soryan Mosque,Balkh,1,1,2,Building,66.704988,36.728355
Kaldar,13,21,تعمیر,2113099,Hairan Shahrak,Nasir Khisraw Balkhi High School,Balkh,1,3,4,Building,67.473798,37.216127
Kishindeh,14,21,تعمیر,2114288,Sarab Village,Sarab School,Balkh,1,2,3,Building,66.913519,36.008987
Kishindeh,14,21,تعمیر,2114299,Sokhta Village,Qarya Sokhta School,Balkh,1,1,2,Building,66.870109,36.022049
Kishindeh,14,21,تعمیر,2114300,Baam Pusht Village,Baam Pusht Mosque,Balkh,1,1,2,Building,66.823248,36.016810
Zari,15,21,تعمیر,2115310,Khiyabak Village,Khwaja Roshnaye School,Balkh,1,2,3,Building,66.629995,35.740902
Sar-E-Pul,01,22,تعمیر,2201001,Shahr Naw Nahai 1,Jowzjan Girls High School,Sar-E-Pul,4,6,10,Building,65.929886,36.220202
Sar-E-Pul,01,22,تعمیر,2201021,Sayed Abad Village,Sayed Abad High School,Sar-E-Pul,2,2,4,Building,65.855936,36.368530
Sar-E-Pul,01,22,تعمیر,2201031,Khanqah Mulki Village,Khanqah Mulki Mosque,Sar-E-Pul,2,1,3,Building,65.862768,36.331548
Sayad,02,22,قریه,2202055,Chahar Gunbad Village,Chahar Gunbad Madrassa,Sar-E-Pul,1,1,2,Village,65.604938,36.157800
Sozma Qala,04,22,تعمیر,2204044,Do-Aba,Do-Aba Boys School,Sar-E-Pul,1,2,3,Building,66.340992,36.043188
Sozma Qala,04,22,تعمیر,2204045,Faiz Abad,Faiz Abad Mosque,Sar-E-Pul,1,1,2,Building,66.226207,36.077939
Sang Charak,05,22,تعمیر,2205107,Bahar Naw Tabra,Tabeer-O-Taghai Khwaja High School,Sar-E-Pul,2,2,4,Building,66.377892,35.988610
Sang Charak,05,22,تعمیر,2205117,Abdeen Kol,Number 2 Village Primary School,Sar-E-Pul,1,2,3,Building,66.357374,35.996852
Gosfandi,06,22,تعمیر,2206127,Qotnamest Village,Qotnamest Village Boys School,Sar-E-Pul,2,2,4,Building,66.519409,35.939272
Balkhab,07,22,تعمیر,2207088,Tal Ashoqan,Tal Aashoqan Madrassa,Sar-E-Pul,1,2,3,Building,66.847271,35.609492
Balkhab,07,22,تعمیر,2207099,Khowal Siyagak,Khowal Siyagak Mosque,Sar-E-Pul,1,2,3,Building,66.484357,35.513103
Chighcheran,01,23,تعمیر,2301010,Dahn Qiyaghak,Tasraghi School,Ghor,1,2,3,Building,65.441238,34.451021
Chighcheran,01,23,تعمیر,2301021,Tangai Zard,Bara Khana Maidan High School,Ghor,1,3,4,Building,64.818064,34.603773
Chighcheran,01,23,قریه,2301032,Abul Ghaibi,Abdul Zahir Private House,Ghor,2,2,4,Village,65.347204,34.235148
Char Sada,04,23,تعمیر,2304061,Khonia,Khonia Village Mosque,Ghor,1,1,2,Building,65.058112,35.055369
Pasaband,05,23,قریه,2305132,Bazar Siyajar Village,Siyajar Bazar Tent,Ghor,1,1,2,Village,64.623528,33.302950
Shahrak,06,23,قریه,2306080,Khara Sang,Khara Sang Mosque,Ghor,1,2,3,Village,64.545625,34.008101
Shahrak,06,23,قریه,2306091,Kamanj Ghok,Kamanj School,Ghor,1,1,2,Village,64.346484,34.385960
Lal Wa Sarjangal,07,23,تعمیر,2307141,Chashma Padshah Village,Chashma Padshah Primary School,Ghor,1,2,3,Building,66.137169,34.473805
Lal Wa Sarjangal,07,23,قریه,2307151,Sabzwar,Shiniya Sabzwar School,Ghor,2,1,3,Village,66.320717,34.314285
Lal Wa Sarjangal,07,23,تعمیر,2307170,Pitab Shahi Village,Shahi School,Ghor,1,2,3,Building,66.641078,34.626967
Taywara,08,23,قریه,2308213,Paay Hisar,Abdullah Paay Hisar Private House,Ghor,1,2,3,Village,64.284811,33.806568
Taywara,08,23,تعمیر,2308224,Saayen,Abdul Salam Private House,Ghor,2,1,3,Building,64.293693,33.346445
Tulak,09,23,قریه,2309179,Dahan Aab Bara,Chahar Raah Tolak School,Ghor,2,2,4,Village,63.689139,34.129713
Saghar,10,23,تعمیر,2310202,Aspiyasang,Aspiyasang Primary School,Ghor,1,2,3,Building,63.720113,33.429679
Nili,01,24,تعمیر,2401005,Lazir,Bala Bagh Lazir School,Daykundi,2,1,3,Building,66.199967,33.822431
Shahristan,02,24,تعمیر,2402017,Band Barlan,Band Barlan Mosque,Daykundi,1,2,3,Building,66.269375,33.751272
Shahristan,02,24,تعمیر,2402028,Sayed Ahmad,Sayed Alam Mosque,Daykundi,1,1,2,Building,66.797302,33.594622
Gizab,03,24,تعمیر,2403107,Mulayan Qakhor,Mulayan Qakhor Mosque,Daykundi,1,1,2,Building,65.964022,33.572790
Ishterlai,04,24,تعمیر,2404040,"Khadar Bash, Bazar Miyana",Khadar Bash Mosque,Daykundi,1,2,3,Building,66.440707,34.194395
Ishterlai,04,24,تعمیر,2404050,Gurzak Sarab,Gurzak Sarab Mosque,Daykundi,1,1,2,Building,66.339972,34.052231
Khedir,05,24,تعمیر,2405093,Dahan Kiti,Dahan Kiti Girls Primary School,Daykundi,1,1,2,Building,65.725342,33.876292
Kiti,06,24,تعمیر,2406124,Miyana Tamran,Miyana Tamran Mosque,Daykundi,1,2,3,Building,65.809452,33.646855
Kiti,06,24,تعمیر,2406136,Sar Kiso,Sar Kiso Mosque,Daykundi,1,2,3,Building,65.896465,33.446527
Miramor,07,24,تعمیر,2407148,Deh Ghochi,Sarsang Takhawi Mosque,Daykundi,1,1,2,Building,66.730327,33.859314
Miramor,07,24,تعمیر,2407159,Mir Ghulam,Rako Mosque,Daykundi,1,1,2,Building,66.830907,33.636823
Sang-E-Takht,08,24,تعمیر,2408083,Khulbarg,Khatim-Ul-Anbia Khulbarg Mosque,Daykundi,1,2,3,Building,66.069531,34.213810
Kejran,09,24,تعمیر,2409063,Salmonji,Salmonji Menbar,Daykundi,1,1,2,Building,65.429268,33.172497
Tirinkot,01,25,تعمیر,2501004,Maktab Gulkhana Spin Kicha,Kabeer Mosque,Urozgan,2,3,5,Building,65.750054,32.579818
Tirinkot,01,25,تعمیر,2501015,Mir Abad Village,Mir Abad Village School,Urozgan,2,3,5,Building,66.025467,32.674408
Dehraoud,02,25,تعمیر,2502054,Sikazi Village,Mula Khudai Nazar Village School,Urozgan,1,5,6,Building,65.372939,32.534927
Shahid-E-Hassas,04,25,تعمیر,2504032,Yakhdan Bazar,Bazar Yakhdan School,Urozgan,1,3,4,Building,65.484139,32.985956
Khas Urozgan,05,25,تعمیر,2505029,District Compound,District Girls Primary School,Urozgan,2,4,6,Building,66.631632,32.925436
Mizan,04,26,تعمیر,2604025,District Compound,Nawa Alam Gul School,Zabul,2,2,4,Building,66.513707,32.176230
Shemel Zayi,10,26,تعمیر,2610036,Shamalzai Bazar,District Clinic,Zabul,2,4,6,Building,67.645681,31.908417
Kandahar,01,27,تعمیر,2701007,D04 - Nahia 4,Malalai High School,کندهار,9,0,9,Building,65.726641,31.624537
Kandahar,01,27,تعمیر,2701030,D02 - Nahia 2,Ahmad Shah Baba High School,کندهار,0,9,9,Building,65.688604,31.613558
Kandahar,01,27,تعمیر,2701033,D07 - Nahia 7,Plan Omomi Riyasat,کندهار,0,6,6,Building,65.677715,31.620367
Kandahar,01,27,تعمیر,2701050,D06 - Nahia 6,Aino High School,کندهار,4,0,4,Building,65.708814,31.618450
Kandahar,01,27,تعمیر,2701054,D10 - Nahia 10,Kadastar Riyasat,کندهار,5,5,10,Building,65.743681,31.617179
Arghandab,02,27,تعمیر,2702100,Baba Wali Sahib,Baba Sahib Dorahi - Irrigation Department,کندهار,3,0,3,Building,65.668883,31.659382
Arghandab,02,27,تعمیر,2702111,Mirab Khoran,Sultan Mahmood Ghaznawi School,کندهار,1,2,3,Building,65.682086,31.674272
Daman,03,27,قریه,2703087,Sra Qala,Haji Habib Aka Mosque,کندهار,1,1,2,Village,66.157095,31.644503
Daman,03,27,تعمیر,2703088,Naqileen,Naqileen School,کندهار,1,1,2,Building,65.796664,31.577241
Panjwayee,04,27,قریه,2704177,Moshan,Haji Akbar Camp,کندهار,1,2,3,Village,65.261924,31.465352
Panjwayee,04,27,تعمیر,2704178,Marghar Camp,Marghar Camp School,کندهار,1,2,3,Building,65.496247,31.541951
Zhire,05,27,تعمیر,2705153,Zharee Dasht,11Th Camp School,کندهار,4,4,8,Building,65.375626,31.657750
Zhire,05,27,قریه,2705165,Qolq,Popal Neeka School,کندهار,1,1,2,Village,65.279834,31.511568
Zhire,05,27,قریه,2705166,Sangohsar,Naadi School,کندهار,1,1,2,Village,65.335994,31.535067
Shah Wali Kot,06,27,قریه,2706093,Qondalan,Shir Agha Private House,کندهار,0,2,2,Village,65.850716,32.137237
Khakrez,07,27,قریه,2707122,Haji Gul,Haji Gul School,کندهار,1,1,2,Village,65.515201,31.960545
Arghistan,08,27,قریه,2708250,Narghal,Guest House,کندهار,2,2,4,Village,66.299952,31.458669
Maiwand,10,27,قریه,2710135,Band Taimoor,Band Taimoor Clinic,کندهار,0,2,2,Village,64.966122,31.535698
Maiwand,10,27,تعمیر,2710142,Zor Bazar,Ghazi Mohamamd Ayub Khan High School,کندهار,1,2,3,Building,65.062388,31.617912
Spin Boldak,11,27,تعمیر,2711206,Yaqoob Wesh Market,Haji Raziq School,کندهار,0,5,5,Building,66.406522,30.954976
Spin Boldak,11,27,تعمیر,2711216,Speen Boldak,Faizo Private House,کندهار,0,3,3,Building,66.395818,31.009780
Spin Boldak,11,27,تعمیر,2711217,Nawai Village,Farmanullah Private House,کندهار,3,3,6,Building,66.434994,30.961057
Miyanishin,13,27,قریه,2713261,Chalwar,District Building Office,کندهار,1,1,2,Village,66.372291,32.375336
Maruf,15,27,قریه,2715270,Chodi Village,Chody Village Mosque,کندهار,2,2,4,Village,67.228080,31.657817
Dand,17,27,قریه,2717016,Dand District,Kulcha Abad Secondary School,کندهار,2,3,5,Village,65.678270,31.576274
Sheberghan,01,28,تعمیر,2801009,D04 - Nahia 4,Charamgar Khana High School,Jawzjan,2,4,6,Building,65.766462,36.666551
Sheberghan,01,28,تعمیر,2801018,D04 - Nahia 4,Yangee Areegh High School,Jawzjan,2,3,5,Building,65.796894,36.727840
Sheberghan,01,28,تعمیر,2801029,D04 - Nahia 4,Chaghachi Secondary School,Jawzjan,1,2,3,Building,65.775010,36.678398
Khanaqa,03,28,تعمیر,2803116,Besh Kapa Watania,Besh Kapa Watania School,Jawzjan,1,2,3,Building,66.137232,36.897285
Mingajik,04,28,تعمیر,2804073,Abaash Village,Abaas Girls School,Jawzjan,2,2,4,Building,66.081048,36.963440
Qush Tepa,05,28,تعمیر,2805092,Qosh Taba,Turkman Qadoq School,Jawzjan,1,1,2,Building,65.442550,36.148334
Aqchah,07,28,تعمیر,2807036,Qum Areegh Village,Qum Areegh Mosque,Jawzjan,1,2,3,Building,66.163675,36.939078
Aqchah,07,28,تعمیر,2807046,Qara-E-Boyeen,Qara-E-Boyeen School,Jawzjan,1,1,2,Building,66.209892,36.850959
Aqchah,07,28,تعمیر,2807047,Chakosh Sarband,Chakosh Sarband School,Jawzjan,1,1,2,Building,66.272087,36.841406
Nawa-E-Barakzayi,03,30,تعمیر,3003090,Treekh Zabar,Haji Ghulam Ali Mosque,Helmand,1,3,4,Building,64.305199,31.479587
Nawa-E-Barakzayi,03,30,تعمیر,3003101,Loy Village,Loy Village School,Helmand,0,3,3,Building,64.220984,31.237536
Garm Ser,06,30,تعمیر,3006126,Haji Mohammad Lal Village,District Center School,Helmand,1,2,3,Building,64.198691,31.130795
Musa Qala,09,30,تعمیر,3009189,Chena Sufla,Lal Jan Market,Helmand,3,4,7,Building,64.773295,32.340104
Reg-E-Khan Nishin,11,30,ولسوالی,3011212,Qala-E-Golo Maktab,Dost Mohammad Mosque,Helmand,0,3,3,District,63.454535,30.685460
